Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),surface_area_km2,Latitude,Longitude
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348610,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348570,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348560,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348540,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,348880,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349360,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349370,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349380,51,9
Germany,2021,13.9,29.3,239.3,83.41,42.25,41.15,97.4,349390,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349130,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349120,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349110,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349100,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349090,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349050,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349020,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348980,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348950,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348900,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348860,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348810,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348770,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348760,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348720,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348670,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348630,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348610,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348570,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348560,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348540,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,348880,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349360,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349370,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349380,51,9
Germany,2022,14,29.7,239.2,83.37,42.23,41.14,97.4,349390,51,9
Ghana,2010,39.2,4.8,112.4,25.57,12.83,12.74,99.3,227540,8,-2
Ghana,2010,39.2,4.8,112.4,25.57,12.83,12.74,99.3,227533,8,-2
Ghana,2015,38.9,5,126.9,28.87,14.47,14.4,99.5,227540,8,-2
Ghana,2015,38.9,5,126.9,28.87,14.47,14.4,99.5,227533,8,-2
Ghana,2021,37.3,5.8,144.3,32.83,16.46,16.38,99.5,227540,8,-2
Ghana,2021,37.3,5.8,144.3,32.83,16.46,16.38,99.5,227533,8,-2
Ghana,2022,36.9,5.9,147.1,33.48,16.78,16.7,99.5,227540,8,-2
Ghana,2022,36.9,5.9,147.1,33.48,16.78,16.7,99.5,227533,8,-2
Gibraltar,2010,18.1,22,,0.03,0.02,0.02,99.6,10,36.18,-5.37
Gibraltar,2015,17.8,23.7,,0.03,0.02,0.02,99.5,10,36.18,-5.37
Gibraltar,2021,17.1,26.7,,0.03,0.02,0.02,99.8,10,36.18,-5.37
Gibraltar,2022,17,27.2,,0.03,0.02,0.02,99.8,10,36.18,-5.37
Greece,2010,14.6,25,84.3,11.03,5.58,5.45,97.6,128900,39,22
Greece,2015,14.6,26.7,82.6,10.81,5.5,5.31,96.4,128900,39,22
Greece,2021,14.1,29,79.8,10.45,5.33,5.12,96,128900,39,22
Greece,2022,13.9,29.4,79.4,10.39,5.3,5.08,95.8,128900,39,22
Greenland,2010,22.4,10.9,0.1,0.06,0.03,0.03,113,341700,72,-40
Greenland,2010,22.4,10.9,0.1,0.06,0.03,0.03,113,410450,72,-40
Greenland,2015,21.1,12.8,0.1,0.06,0.03,0.03,111.9,341700,72,-40
Greenland,2015,21.1,12.8,0.1,0.06,0.03,0.03,111.9,410450,72,-40
Greenland,2021,20.9,16,0.1,0.06,0.03,0.03,111,341700,72,-40
Greenland,2021,20.9,16,0.1,0.06,0.03,0.03,111,410450,72,-40
Greenland,2022,20.9,16.9,0.1,0.06,0.03,0.03,110.6,341700,72,-40
Greenland,2022,20.9,16.9,0.1,0.06,0.03,0.03,110.6,410450,72,-40
Grenada,2010,24.7,12.1,335.4,0.11,0.06,0.06,101.9,340,12.12,-61.67
Grenada,2015,24,12.9,349.9,0.12,0.06,0.06,101.1,340,12.12,-61.67
Grenada,2021,24.1,14.6,366.5,0.12,0.06,0.06,100.2,340,12.12,-61.67
Grenada,2022,24,14.9,368.9,0.13,0.06,0.06,100,340,12.12,-61.67
Guadeloupe,2010,22,18.8,247.6,0.4,0.22,0.19,87.1,,16.25,-61.58
Guadeloupe,2015,20.5,22.2,245.1,0.4,0.22,0.18,84.5,,16.25,-61.58
Guadeloupe,2021,18.4,26.4,243.3,0.4,0.22,0.18,82.7,,16.25,-61.58
Guadeloupe,2022,18.1,27,243.1,0.4,0.22,0.18,82.6,,16.25,-61.58
Guam,2010,27.1,10.6,304.8,0.16,0.08,0.08,103.1,540,13.47,144.78
Guam,2015,26.9,13.2,310.5,0.17,0.08,0.09,102.4,540,13.47,144.78
Guam,2021,26.3,16.5,315.2,0.17,0.08,0.09,101.4,540,13.47,144.78
Guam,2022,26.1,17,317.5,0.17,0.09,0.09,101.3,540,13.47,144.78
Guatemala,2010,39.1,6,135.7,14.54,7.33,7.21,98.3,107160,15.5,-90.25
Guatemala,2015,36.2,6.5,149.3,16,8.07,7.93,98.2,107160,15.5,-90.25
Guatemala,2021,32.9,7.1,164.3,17.61,8.89,8.72,98,107160,15.5,-90.25
Guatemala,2022,32.4,7.1,166.5,17.84,9.01,8.83,98,107160,15.5,-90.25
Guinea,2010,44.5,5.4,41.8,10.27,5.24,5.04,96.2,245720,11,-10
Guinea,2015,43.3,5.2,47.3,11.63,5.91,5.71,96.6,245720,11,-10
Guinea,2021,41.8,5.2,55.1,13.53,6.85,6.69,97.7,245720,11,-10
Guinea,2022,41.5,5.1,56.4,13.86,7.01,6.85,97.8,245720,11,-10
Guinea-Bissau,2010,43.6,4.2,55.7,1.57,0.8,0.77,96.2,28120,12,-15
Guinea-Bissau,2015,42.8,4.3,63.6,1.79,0.91,0.88,96.9,28120,12,-15
Guinea-Bissau,2021,40.6,4.5,73.3,2.06,1.04,1.02,97.5,28120,12,-15
Guinea-Bissau,2022,40.1,4.5,74.9,2.11,1.07,1.04,97.6,28120,12,-15
Guyana,2010,32.3,7.1,3.8,0.75,0.38,0.37,98.9,196710,5,-59
Guyana,2010,32.3,7.1,3.8,0.75,0.38,0.37,98.9,196850,5,-59
Guyana,2015,30.1,8.3,3.8,0.76,0.38,0.37,96.9,196710,5,-59
Guyana,2015,30.1,8.3,3.8,0.76,0.38,0.37,96.9,196850,5,-59
Guyana,2021,28.7,9.8,4.1,0.8,0.41,0.39,95.8,196710,5,-59
Guyana,2021,28.7,9.8,4.1,0.8,0.41,0.39,95.8,196850,5,-59
Guyana,2022,28.6,9.9,4.1,0.81,0.41,0.4,95.9,196710,5,-59
Guyana,2022,28.6,9.9,4.1,0.81,0.41,0.4,95.9,196850,5,-59
Haiti,2010,36,6.1,357,9.84,4.95,4.89,98.8,27560,19,-72.42
Haiti,2015,34.2,6.5,383.2,10.56,5.32,5.25,98.7,27560,19,-72.42
Haiti,2021,32.4,7.1,415.2,11.45,5.77,5.67,98.2,27560,19,-72.42
Haiti,2022,32.1,7.1,420.2,11.59,5.85,5.74,98.2,27560,19,-72.42
Honduras,2010,37.7,5,77.5,8.45,4.18,4.27,102.4,111890,15,-86.5
Honduras,2015,34.2,5.7,85.2,9.29,4.6,4.7,102.3,111890,15,-86.5
Honduras,2021,30.6,6.6,94.2,10.28,5.09,5.19,102,111890,15,-86.5
Honduras,2022,30.1,6.6,95.6,10.43,5.17,5.27,102,111890,15,-86.5
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,90040,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,90020,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,90030,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,90010,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,90000,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89990,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89980,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89970,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89950,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89960,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89920,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89910,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89900,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89890,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89880,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89870,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89860,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89800,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89620,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,89610,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,90530,47,20
Hungary,2010,14.7,22.6,110.3,9.99,5.24,4.74,90.5,91260,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,90040,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,90020,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,90030,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,90010,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,90000,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89990,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89980,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89970,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89950,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89960,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89920,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89910,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89900,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89890,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89880,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89870,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89860,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89800,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89620,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,89610,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,90530,47,20
Hungary,2015,14.5,25.4,108.7,9.84,5.15,4.69,91.1,91260,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,90040,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,90020,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,90030,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,90010,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,90000,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89990,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89980,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89970,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89950,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89960,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89920,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89910,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89900,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89890,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89880,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89870,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89860,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89800,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89620,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,89610,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,90530,47,20
Hungary,2021,14.6,26.6,107.3,9.71,5.06,4.65,92.1,91260,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,90040,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,90020,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,90030,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,90010,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,90000,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89990,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89980,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89970,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89950,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89960,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89920,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89910,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89900,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89890,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89880,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89870,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89860,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89800,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89620,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,89610,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,90530,47,20
Hungary,2022,14.4,25.8,110.1,9.97,5.18,4.79,92.3,91260,47,20
Iceland,2010,20.9,17,3.2,0.32,0.16,0.16,101.2,100250,65,-18
Iceland,2010,20.9,17,3.2,0.32,0.16,0.16,101.2,100830,65,-18
Iceland,2015,20.2,19.1,3.3,0.33,0.16,0.17,101,100250,65,-18
Iceland,2015,20.2,19.1,3.3,0.33,0.16,0.17,101,100830,65,-18
Iceland,2021,18.6,20.6,3.7,0.37,0.18,0.19,105.2,100250,65,-18
Iceland,2021,18.6,20.6,3.7,0.37,0.18,0.19,105.2,100830,65,-18
Iceland,2022,18.5,21,3.7,0.37,0.18,0.19,105.2,100250,65,-18
Iceland,2022,18.5,21,3.7,0.37,0.18,0.19,105.2,100830,65,-18
India,2010,31,7.8,417.3,1241,599.05,641.57,107.1,2973190,20,77
India,2015,28.6,8.9,444.9,1323,639.32,683.54,106.9,2973190,20,77
India,2021,25.7,10.4,473.4,1408,681.06,726.5,106.7,2973190,20,77
India,2022,25.3,10.5,476.7,1417,685.99,731.18,106.6,2973190,20,77
Indonesia,2010,27.9,8.7,127.7,244.02,121.13,122.88,101.4,1811570,-5,120
Indonesia,2010,27.9,8.7,127.7,244.02,121.13,122.88,101.4,1877519,-5,120
Indonesia,2010,27.9,8.7,127.7,244.02,121.13,122.88,101.4,1892555.5,-5,120
Indonesia,2015,26.9,9.3,135.6,259.09,128.57,130.52,101.5,1811570,-5,120
Indonesia,2015,26.9,9.3,135.6,259.09,128.57,130.52,101.5,1877519,-5,120
Indonesia,2015,26.9,9.3,135.6,259.09,128.57,130.52,101.5,1892555.5,-5,120
Indonesia,2021,25.5,10.7,143.3,273.75,135.9,137.85,101.4,1811570,-5,120
Indonesia,2021,25.5,10.7,143.3,273.75,135.9,137.85,101.4,1877519,-5,120
Indonesia,2021,25.5,10.7,143.3,273.75,135.9,137.85,101.4,1892555.5,-5,120
Indonesia,2022,25.2,10.9,144.2,275.5,136.8,138.7,101.4,1811570,-5,120
Indonesia,2022,25.2,10.9,144.2,275.5,136.8,138.7,101.4,1877519,-5,120
Indonesia,2022,25.2,10.9,144.2,275.5,136.8,138.7,101.4,1892555.5,-5,120
Iran,2010,22.3,7.8,46.3,75.37,37.07,38.3,103.3,1628760,,
Iran,2010,22.3,7.8,46.3,75.37,37.07,38.3,103.3,1622500,,
Iran,2015,23.5,9.2,50.2,81.79,40.34,41.45,102.8,1628760,,
Iran,2015,23.5,9.2,50.2,81.79,40.34,41.45,102.8,1622500,,
Iran,2021,23.8,11.3,54,87.92,43.5,44.43,102.1,1628760,,
Iran,2021,23.8,11.3,54,87.92,43.5,44.43,102.1,1622500,,
Iran,2022,23.6,11.6,54.4,88.55,43.84,44.71,102,1628760,,
Iran,2022,23.6,11.6,54.4,88.55,43.84,44.71,102,1622500,,
Iraq,2010,41.2,4.7,72,31.26,15.71,15.56,99,437370,33,44
Iraq,2010,41.2,4.7,72,31.26,15.71,15.56,99,434320,33,44
Iraq,2010,41.2,4.7,72,31.26,15.71,15.56,99,434128,33,44
Iraq,2015,40.3,5,87,37.76,18.91,18.85,99.7,437370,33,44
Iraq,2015,40.3,5,87,37.76,18.91,18.85,99.7,434320,33,44
Iraq,2015,40.3,5,87,37.76,18.91,18.85,99.7,434128,33,44
Iraq,2021,38.1,5,100.3,43.53,21.74,21.8,100.3,437370,33,44
Iraq,2021,38.1,5,100.3,43.53,21.74,21.8,100.3,434320,33,44
Iraq,2021,38.1,5,100.3,43.53,21.74,21.8,100.3,434128,33,44
Iraq,2022,37.7,5.1,102.5,44.5,22.21,22.29,100.4,437370,33,44
Iraq,2022,37.7,5.1,102.5,44.5,22.21,22.29,100.4,434320,33,44
Iraq,2022,37.7,5.1,102.5,44.5,22.21,22.29,100.4,434128,33,44
Ireland,2010,21.1,16.1,66.2,4.52,2.28,2.25,98.7,68890,53,-8
Ireland,2015,21.4,18.1,68.2,4.67,2.36,2.31,97.9,68890,53,-8
Ireland,2021,19.9,20.1,72.9,4.99,2.52,2.47,98.2,68890,53,-8
Ireland,2022,19.6,20.5,73.5,5.02,2.53,2.49,98.3,68890,53,-8
Isle of Man,2010,16.7,24.4,146.6,0.08,0.04,0.04,98.6,570,,
Isle of Man,2015,16.1,26.5,146.1,0.08,0.04,0.04,98.2,570,,
Isle of Man,2021,14.9,28.9,147.3,0.08,0.04,0.04,98.1,570,,
Isle of Man,2022,14.7,29.4,147.8,0.08,0.04,0.04,98.1,570,,
Israel,2010,27.8,14.3,338.6,7.33,3.7,3.63,98,21640,31.5,34.75
Israel,2015,28.1,15.2,370,8.01,4.03,3.98,98.7,21640,31.5,34.75
Israel,2021,28.2,16,411.2,8.9,4.46,4.44,99.4,21640,31.5,34.75
Israel,2022,28.1,16.1,417.6,9.04,4.53,4.51,99.5,21640,31.5,34.75
Italy,2010,14.1,26.7,202.1,59.82,30.87,28.96,93.8,294110,42.83,12.83
Italy,2010,14.1,26.7,202.1,59.82,30.87,28.96,93.8,295718,42.83,12.83
Italy,2010,14.1,26.7,202.1,59.82,30.87,28.96,93.8,295717,42.83,12.83
Italy,2015,13.7,28,203.5,60.23,31.02,29.21,94.2,294110,42.83,12.83
Italy,2015,13.7,28,203.5,60.23,31.02,29.21,94.2,295718,42.83,12.83
Italy,2015,13.7,28,203.5,60.23,31.02,29.21,94.2,295717,42.83,12.83
Italy,2021,12.7,30.5,200.2,59.24,30.37,28.87,95.1,294110,42.83,12.83
Italy,2021,12.7,30.5,200.2,59.24,30.37,28.87,95.1,295718,42.83,12.83
Italy,2021,12.7,30.5,200.2,59.24,30.37,28.87,95.1,295717,42.83,12.83
Italy,2022,12.4,31,199.5,59.04,30.25,28.79,95.2,294110,42.83,12.83
Italy,2022,12.4,31,199.5,59.04,30.25,28.79,95.2,295718,42.83,12.83
Italy,2022,12.4,31,199.5,59.04,30.25,28.79,95.2,295717,42.83,12.83
Jamaica,2010,26.6,8.4,252.4,2.73,1.38,1.36,98.3,10830,18.25,-77.5
Jamaica,2015,23.3,9.4,258,2.79,1.41,1.39,98.6,10830,18.25,-77.5
Jamaica,2021,20.3,11.6,261.1,2.83,1.42,1.4,98.5,10830,18.25,-77.5
Jamaica,2022,19.8,11.9,261.1,2.83,1.43,1.4,98.4,10830,18.25,-77.5
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,366700,36,138
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,366600,36,138
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,366500,36,138
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,366400,36,138
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,366300,36,138
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,366200,36,138
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,364700,36,138
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,364600,36,138
Japan,2010,13.2,31.5,340,128.11,65.69,62.42,95,364500,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,366700,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,366600,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,366500,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,366400,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,366300,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,366200,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,364700,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,364600,36,138
Japan,2015,12.7,33.9,337.7,127.25,65.32,61.93,94.8,364500,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,366700,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,366600,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,366500,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,366400,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,366300,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,366200,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,364700,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,364600,36,138
Japan,2021,11.8,35.6,330.7,124.61,64.05,60.57,94.6,364500,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,366700,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,366600,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,366500,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,366400,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,366300,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,366200,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,364700,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,364600,36,138
Japan,2022,11.6,35.8,328.9,123.95,63.71,60.24,94.6,364500,36,138
Jordan,2010,36.6,5.3,78.1,6.93,3.37,3.56,105.9,88240,31,36
Jordan,2010,36.6,5.3,78.1,6.93,3.37,3.56,105.9,88780,31,36
Jordan,2010,36.6,5.3,78.1,6.93,3.37,3.56,105.9,88794,31,36
Jordan,2015,35.1,4.9,106.9,9.49,4.55,4.94,108.7,88240,31,36
Jordan,2015,35.1,4.9,106.9,9.49,4.55,4.94,108.7,88780,31,36
Jordan,2015,35.1,4.9,106.9,9.49,4.55,4.94,108.7,88794,31,36
Jordan,2021,32.6,6.1,125.6,11.15,5.37,5.78,107.7,88240,31,36
Jordan,2021,32.6,6.1,125.6,11.15,5.37,5.78,107.7,88780,31,36
Jordan,2021,32.6,6.1,125.6,11.15,5.37,5.78,107.7,88794,31,36
Jordan,2022,32.1,6.3,127.1,11.29,5.44,5.85,107.5,88240,31,36
Jordan,2022,32.1,6.3,127.1,11.29,5.44,5.85,107.5,88780,31,36
Jordan,2022,32.1,6.3,127.1,11.29,5.44,5.85,107.5,88794,31,36
Kazakhstan,2010,24.6,10.1,6.2,16.63,8.71,7.92,90.9,2699700,48,68
Kazakhstan,2015,27,11,6.6,17.84,9.31,8.53,91.6,2699700,48,68
Kazakhstan,2021,29.5,12.6,7.1,19.2,9.97,9.23,92.6,2699700,48,68
Kazakhstan,2022,29.7,12.8,7.2,19.4,10.06,9.34,92.8,2699700,48,68
Kenya,2010,43.3,3.3,71.5,41.52,20.88,20.64,98.9,569140,1,38
Kenya,2015,41.6,3.8,80.7,46.85,23.58,23.27,98.7,569140,1,38
Kenya,2021,38.4,4.5,91.3,53.01,26.73,26.28,98.3,569140,1,38
Kenya,2022,37.8,4.6,93,54.03,27.25,26.78,98.3,569140,1,38
Kiribati,2010,36.4,5.2,148.8,0.11,0.06,0.05,95.8,810,1.42,173
Kiribati,2015,35.6,5.5,160.8,0.12,0.06,0.06,94.9,810,1.42,173
Kiribati,2021,36.2,6.1,177.5,0.13,0.07,0.06,94.8,810,1.42,173
Kiribati,2022,36.1,6.3,180.8,0.13,0.07,0.06,95,810,1.42,173
Kuwait,2010,23,3.2,165.2,2.94,1.27,1.68,132.2,17820,29.34,47.66
Kuwait,2015,21.7,4.6,219.4,3.91,1.57,2.34,149,17820,29.34,47.66
Kuwait,2021,21.1,8.5,238.5,4.25,1.66,2.59,156.1,17820,29.34,47.66
